Employee ID,Employee Name,Date,In-Time,Out-Time
EMP003,Michael Johnson,2024-01-18,10:00,18:35
EMP003,Michael Johnson,2024-01-19,10:20,18:36
EMP003,Michael Johnson,2024-01-20,10:06,14:00
EMP003,Michael Johnson,2024-01-22,09:57,18:43
EMP003,Michael Johnson,2024-01-23,10:09,18:47
EMP003,Michael Johnson,2024-01-24,10:20,18:19
EMP003,Michael Johnson,2024-01-25,10:02,18:48
EMP003,Michael Johnson,2024-01-26,09:55,18:12
EMP003,Michael Johnson,2024-01-27,09:55,14:00
EMP003,Michael Johnson,2024-01-29,10:10,18:30
EMP003,Michael Johnson,2024-01-30,09:52,18:31
EMP003,Michael Johnson,2024-01-31,10:08,18:25
EMP004,Emily Davis,2024-01-01,09:53,18:46
EMP004,Emily Davis,2024-01-02,10:05,18:32
EMP004,Emily Davis,2024-01-03,10:09,18:27
EMP004,Emily Davis,2024-01-04,09:50,18:29
EMP004,Emily Davis,2024-01-05,,
EMP004,Emily Davis,2024-01-06,10:14,14:10
EMP004,Emily Davis,2024-01-08,09:50,18:32
EMP004,Emily Davis,2024-01-09,09:59,18:22
EMP004,Emily Davis,2024-01-10,09:43,18:23
EMP004,Emily Davis,2024-01-11,10:12,17:41
EMP004,Emily Davis,2024-01-12,09:44,18:45
EMP004,Emily Davis,2024-01-13,09:55,14:05
EMP004,Emily Davis,2024-01-15,09:47,18:30
EMP004,Emily Davis,2024-01-16,10:20,18:42
EMP004,Emily Davis,2024-01-17,10:15,18:29
EMP004,Emily Davis,2024-01-18,09:45,18:18
EMP004,Emily Davis,2024-01-19,10:05,18:46
EMP004,Emily Davis,2024-01-20,09:53,14:08
EMP004,Emily Davis,2024-01-22,10:52,18:12
EMP004,Emily Davis,2024-01-23,10:00,18:17
EMP004,Emily Davis,2024-01-24,10:01,18:35
EMP004,Emily Davis,2024-01-25,10:04,18:47
EMP004,Emily Davis,2024-01-26,10:19,18:50
EMP004,Emily Davis,2024-01-27,09:49,13:55
EMP004,Emily Davis,2024-01-29,09:43,18:11
EMP004,Emily Davis,2024-01-30,10:16,17:38
EMP004,Emily Davis,2024-01-31,10:02,18:46
EMP005,David Wilson,2024-01-01,09:44,18:50
EMP005,David Wilson,2024-01-02,09:40,18:45
EMP005,David Wilson,2024-01-03,,
EMP005,David Wilson,2024-01-04,09:48,18:27
EMP005,David Wilson,2024-01-05,09:50,18:16
EMP005,David Wilson,2024-01-06,09:58,13:45
EMP005,David Wilson,2024-01-08,10:58,18:38
EMP005,David Wilson,2024-01-09,10:07,18:38
EMP005,David Wilson,2024-01-10,09:45,18:22
EMP005,David Wilson,2024-01-11,09:50,18:15
EMP005,David Wilson,2024-01-12,10:20,17:32
EMP005,David Wilson,2024-01-13,10:11,14:08
EMP005,David Wilson,2024-01-15,09:46,18:19
EMP005,David Wilson,2024-01-16,10:08,18:22
EMP005,David Wilson,2024-01-17,10:14,18:49
EMP005,David Wilson,2024-01-18,,
EMP005,David Wilson,2024-01-19,10:07,18:14
EMP005,David Wilson,2024-01-20,10:04,14:04
EMP005,David Wilson,2024-01-22,09:54,18:23
EMP005,David Wilson,2024-01-23,10:05,18:46
EMP005,David Wilson,2024-01-24,09:45,18:15
EMP005,David Wilson,2024-01-25,09:57,18:50
EMP005,David Wilson,2024-01-26,09:40,18:45
EMP005,David Wilson,2024-01-27,10:02,13:53
EMP005,David Wilson,2024-01-29,09:45,18:18
EMP005,David Wilson,2024-01-30,09:41,18:48
EMP005,David Wilson,2024-01-31,10:16,18:19
